ticker,exchange_suffix,name,sector
2020.OL,.OL,2020 BULKERS,
5PG.OL,.OL,5TH PLANET GAMES,
74SW.PA,.PA,74SOFTWARE,
8GW.IR,.IR,GREAT WESTERN MIN.,
A2A.MI,.MI,A2A,
A5G.IR,.IR,AIB GROUP PLC,
AAA.PA,.PA,ALAN ALLMAN,
AALB.AS,.AS,AALBERTS NV,
AASB.OL,.OL,AASEN SPAREBANK,
AAT.MI,.MI,AATECH,
AB.PA,.PA,AB SCIENCE,
ABC.MI,.MI,ABC COMPANY,
ABCA.PA,.PA,ABC ARBITRAGE,
ABEO.PA,.PA,ABEO,
ABG.OL,.OL,ABG SUNDAL COLLIER,
ABI.BR,.BR,AB INBEV,
ABL.OL,.OL,ABL GROUP,
ABLD.PA,.PA,ABL Diagnostics,
ABN.AS,.AS,ABN AMRO BANK N.V.,
ABNX.PA,.PA,ABIONYX PHARMA,
ABO.BR,.BR,ABO GROUP,
ABP.MI,.MI,A.B.P. NOCIVELLI,
ABS.OL,.OL,ARCTIC BIOSCIENCE,
ABT.MI,.MI,ABITARE IN,
ABTEC.OL,.OL,AQUA BIO TECHNO,
ABTG.MI,.MI,ALFIO BARDOLLA,
ABVX.PA,.PA,ABIVAX,
AC.PA,.PA,ACCOR,
AC5.MI,.MI,ACINQUE,
ACA.PA,.PA,CREDIT AGRICOLE,
ACAN.PA,.PA,ACANTHE DEV.,
ACCB.BR,.BR,ACCENTIS,
ACE.MI,.MI,ACEA,
ACED.OL,.OL,ACE DIGITAL,
ACKB.BR,.BR,ACKERMANS V.HAAREN,
ACOMO.AS,.AS,ACOMO,
ACQ.MI,.MI,ACQUAZZURRA,
ACR.OL,.OL,AXACTOR,
AD.AS,.AS,AHOLD DEL,
ADB.MI,.MI,AEROPORTO G. M. BO,
ADOC.PA,.PA,ADOCIA,
ADP.PA,.PA,ADP,
ADS.OL,.OL,ADS MARITIME HOLD,
ADV.MI,.MI,ADVENTURE,
ADYEN.AS,.AS,ADYEN,
AEDES.MI,.MI,AEDES,
AEF.MI,.MI,AEFFE,
AELIS.PA,.PA,AELIS FARMA,
AFG.OL,.OL,AF GRUPPEN,
AFISH.OL,.OL,ARCTIC FISH HOLDIN,
AFK.OL,.OL,ARENDALS FOSSEKOMP,
AGAIN.MI,.MI,CLOUDIA RESEARCH,
AGFB.BR,.BR,AGFA-GEVAERT,
AGIL.AS,.AS,Agility Capital H,
AGLX.OL,.OL,AGILYX,
AGN.AS,.AS,AEGON,
AGP.MI,.MI,ALTEA GREEN POWER,
AGS.BR,.BR,AGEAS,
AI.PA,.PA,AIR LIQUIDE,
AIM.MI,.MI,4AIM SICAF,
AIR.PA,.PA,AIRBUS,
AIX.OL,.OL,AYFIE INTERNATIONA,
AJAX.AS,.AS,AJAX,
AKAST.OL,.OL,AKASTOR,
AKBM.OL,.OL,AKER BIOMARINE,
AKE.PA,.PA,ARKEMA,
AKER.OL,.OL,AKER,
AKOBO.OL,.OL,AKOBO MINERALS,
AKOM.PA,.PA,AERKOMM INC,
AKRBP.OL,.OL,AKER BP,
AKSO.OL,.OL,AKER SOLUTIONS,
AKVA.OL,.OL,AKVA GROUP,
AKW.PA,.PA,AKWEL,
AKZA.AS,.AS,AKZO NOBEL,
AL2SI.PA,.PA,2CRSI,
ALADO.PA,.PA,ADOMOS,
ALAFY.PA,.PA,AFYREN,
ALAGO.PA,.PA,E PANGO,
ALAGP.PA,.PA,AGRIPOWER,
ALAGR.PA,.PA,AGROGENERATION,
ALAIR.PA,.PA,AIRWELL,
ALALO.PA,.PA,ACHETER-LOUER.FR,
ALAMA.PA,.PA,AMA CORPORATION,
ALAQU.PA,.PA,AQUILA,
ALARF.PA,.PA,ADEUNIS,
ALATA.PA,.PA,ATARI,
ALATI.PA,.PA,ACTIA GROUP,
ALAUD.PA,.PA,AUDACIA,
ALAVI.PA,.PA,ADVINI,
ALBFR.PA,.PA,SIDETRADE,
ALBI.PA,.PA,GASCOGNE,
ALBIO.PA,.PA,BIOSYNEX,
ALBIZ.PA,.PA,OBIZ,
ALBKK.PA,.PA,BAIKOWSKI,
ALBLD.PA,.PA,BILENDI,
ALBLU.PA,.PA,BLUELINEA,
ALBOA.PA,.PA,BOA CONCEPT,
ALBON.PA,.PA,LEBON,
ALBOO.PA,.PA,BOOSTHEAT,
ALBOU.PA,.PA,BOURRELIER GROUP,
ALBPK.PA,.PA,BROADPEAK,
ALBPS.PA,.PA,BIOPHYTIS,
ALCAB.PA,.PA,CABASSE,
ALCAF.PA,.PA,CAFOM,
ALCAT.PA,.PA,CATANA GROUP,
ALCBI.PA,.PA,CBI,
ALCBX.PA,.PA,CIBOX INTER A CTIV,
ALCGM.PA,.PA,CEGEDIM,
ALCIS.PA,.PA,CATERING INTL SCES,
ALCJ.PA,.PA,CROSSJECT,
ALCLS.PA,.PA,CELLECTIS,
ALCOF.PA,.PA,COFIDUR,
ALCOG.PA,.PA,COGRA,
ALCOI.PA,.PA,COIL,
ALCOX.PA,.PA,NICOX,
ALCPB.PA,.PA,CAPITAL B,
ALCRB.PA,.PA,CARBIOS,
ALCUR.PA,.PA,ARCURE,
ALCWE.PA,.PA,CHARWOOD ENERGY,
ALDAR.PA,.PA,DAMARTEX,
ALDBL.PA,.PA,BERNARD LOISEAU,
ALDBT.PA,.PA,DBT,
ALDEL.PA,.PA,DELFINGEN,
ALDEV.PA,.PA,DEVERNOIS,
ALDLS.PA,.PA,D.L.S.I.,
ALDLT.PA,.PA,DELTA PLUS GROUP,
ALDMS.PA,.PA,DIAGNOSTIC MEDICAL,
ALDNE.PA,.PA,DONTNOD,
ALDNX.PA,.PA,DNXCORP,
ALDOL.PA,.PA,DOLFINES,
ALDRV.PA,.PA,DRONE VOLT,
ALDUB.PA,.PA,ENCRES DUBUIT,
ALDUX.PA,.PA,ADUX,
ALDV.PA,.PA,ADC SIIC,
ALDVI.PA,.PA,ADVICENNE,
ALEAC.PA,.PA,EDILIZIACROBATICA,
ALECO.PA,.PA,ECOMIAM,
ALECP.PA,.PA,EUROPACORP,
ALECR.PA,.PA,EUROFINS CEREP,
ALEMG.PA,.PA,LABO EUROMEDIS,
ALEMS.BR,.BR,European Medical S,
ALEMV.PA,.PA,EMOVA GROUP,
ALENO.PA,.PA,ENOGIA,
ALENT.PA,.PA,ETHERO,
ALEO2.PA,.PA,EO2,
ALERO.PA,.PA,EUROLAND CORPORATE,
ALERS.PA,.PA,EUROBIO-SCIENTIFIC,
ALESE.PA,.PA,ENTECH,
ALETC.PA,.PA,ENERGY SOLAR,
ALEUA.PA,.PA,EURASIA GROUPE,
ALEUP.PA,.PA,EUROPLASMA,
ALEXA.PA,.PA,EXACOMPTA CLAIREF.,
ALEXP.PA,.PA,ONE EXPERIENCE,
ALFEN.AS,.AS,ALFEN,
ALFLE.PA,.PA,FLEURY MICHON,
ALFLO.PA,.PA,FLORENTAISE,
ALFO.MI,.MI,ALFONSINO,
ALFPC.PA,.PA,FOUNTAINE PAJOT,
ALFRE.PA,.PA,FREELANCE.COM,
ALFUM.PA,.PA,FILL UP MEDIA,
ALGAE.PA,.PA,FERMENTALG,
ALGEC.PA,.PA,GECI INTL,
ALGEN.PA,.PA,GENOWAY,
ALGEV.PA,.PA,GEVELOT,
ALGID.PA,.PA,EGIDE,
ALGIL.PA,.PA,GROUPE GUILLIN,
ALGIR.PA,.PA,SIGNAUX GIROD,
ALGLD.PA,.PA,GOLD BY GOLD,
ALGRO.PA,.PA,GROLLEAU,
ALGTR.PA,.PA,GROUPE TERA,
ALHAF.PA,.PA,HAFFNER ENERGY,
ALHEX.PA,.PA,HEXAOM,
ALHF.PA,.PA,HF COMPANY,
ALHG.PA,.PA,LOUIS HACHETTE,
ALHGO.PA,.PA,HAMILTON GLOBAL OP,
ALHGR.PA,.PA,HOFFMANN,
ALHIT.PA,.PA,HITECHPROS,
ALHOP.PA,.PA,HOPSCOTCH GROUPE,
ALHPI.PA,.PA,HOPIUM,
ALHRG.PA,.PA,HERIGE,
ALHRS.PA,.PA,HYDROGEN REFUELING,
ALHUN.PA,.PA,HUNYVERS,
ALHYP.PA,.PA,HIPAY GROUP,
ALI2S.PA,.PA,I2S,
ALIBR.PA,.PA,CALIBRE,
ALICA.PA,.PA,ICAPE HOLDING,
ALIE.PA,.PA,SIPARIO MOVIES,
ALIKO.PA,.PA,IKONISYS,
ALIMO.PA,.PA,GROUPIMO,
ALIMP.PA,.PA,IMPLANET,
ALIMR.PA,.PA,IMMERSION,
ALINN.PA,.PA,INNELEC MULTIMEDIA,
ALINS.PA,.PA,INTRASENSE,
ALINT.PA,.PA,INTEGRAGEN,
ALINV.PA,.PA,INVIBES ADVERTSING,
ALISP.PA,.PA,ISPD,
ALITL.PA,.PA,IT LINK,
ALJXR.PA,.PA,ARCHOS,
ALKAL.PA,.PA,KALRAY,
ALKEY.PA,.PA,KEYRUS,
ALKKO.PA,.PA,KKO INTERNATIONAL,
ALKLA.PA,.PA,KLARSEN,
ALKLH.PA,.PA,KLEA HOLDING,
ALKLK.PA,.PA,KERLINK,
ALKLN.PA,.PA,KALEON,
ALKOM.PA,.PA,KOMPUESTOS,
ALLAN.PA,.PA,LANSON-BCC,
ALLDL.PA,.PA,GROUPE LDLC,
ALLEX.PA,.PA,LEXIBOOK LINGUIST.,
ALLFG.AS,.AS,ALLFUNDS GROUP,
ALLGO.PA,.PA,LARGO,
ALLHB.PA,.PA,LES HOTELS BAVEREZ,
ALLIX.PA,.PA,WALLIX,
ALLLN.PA,.PA,LLEIDA,
ALLOG.PA,.PA,LOGIC INSTRUMENT,
ALLPL.PA,.PA,LEPERMISLIBRE,
ALLUX.PA,.PA,INSTALLUX,
ALMAR.PA,.PA,MARE NOSTRUM,
ALMAS.PA,.PA,MASTRAD,
ALMCE.PA,.PA,MON COURTIER ENERG,
ALMDG.PA,.PA,MGI DIGITAL GRAPHI,
ALMDT.PA,.PA,MEDIANTECHNOLOGIES,
ALMER.PA,.PA,SAPMER,
ALMET.PA,.PA,METHANOR,
ALMEX.PA,.PA,MEXEDIA,
ALMGI.PA,.PA,MG INTERNATIONAL,
ALMIB.PA,.PA,AMOEBA,
ALMIN.PA,.PA,MINT,
ALMKS.PA,.PA,MAKING SCIENCE,
ALMKT.PA,.PA,MAUNA KEA TECH,
ALMLB.PA,.PA,MILIBOO,
ALMOU.PA,.PA,MOULINVEST,
ALMRB.PA,.PA,MR BRICOLAGE,
ALMUN.PA,.PA,MUNIC,
ALNEV.PA,.PA,NEOVACS,
ALNFL.PA,.PA,NFL BIOSCIENCES,
ALNG.OL,.OL,AWILCO LNG,
ALNLF.PA,.PA,NEOLIFE,
ALNMG.PA,.PA,NETMEDIA GROUP,
ALNMR.PA,.PA,NAMR,
ALNN6.PA,.PA,ENENSYS,
ALNOV.PA,.PA,NOVACYT,
ALNRG.PA,.PA,ENERGISME,
ALNSC.PA,.PA,NSC GROUPE,
ALNSE.PA,.PA,NSE,
ALNTG.PA,.PA,NETGEM,
ALNXT.PA,.PA,NEXTEDIA,
ALO.PA,.PA,ALSTOM,
ALODC.PA,.PA,OMER-DECUGIS & CIE,
ALODY.PA,.PA,ODYSSEE TECHNO,
ALOKW.PA,.PA,GROUPE OKWIND,
ALOPM.PA,.PA,ONCODESIGN PM,
ALORA.PA,.PA,ALTHEORA,
ALORD.PA,.PA,ORDISSIMO,
ALPAS.PA,.PA,PASSAT,
ALPAT.PA,.PA,PLANT ADVANCED,
ALPAU.PA,.PA,PAULIC MEUNERIE,
ALPDX.PA,.PA,PISCINES DESJOYAUX,
ALPET.PA,.PA,PET SERVICE,
ALPHI.PA,.PA,FACEPHI,
ALPJT.PA,.PA,POUJOULAT,
ALPM.PA,.PA,PRECIA,
ALPOU.PA,.PA,POULAILLON,
ALPRE.PA,.PA,PREDILIFE,
ALPRG.PA,.PA,PROLOGUE,
ALPRI.PA,.PA,PRISMAFLEX INTL,
ALPUL.PA,.PA,PULLUP ENTERTAIN,
ALPWG.PA,.PA,PRODWAYS GROUP,
ALQGC.PA,.PA,QUANTUM GENOMICS,
ALQWA.PA,.PA,QWAMPLIFY,
ALREA.PA,.PA,REALITES,
ALREB.PA,.PA,REBIRTH,
ALREW.PA,.PA,REWORLD MEDIA,
ALRFG.PA,.PA,RACING FORCE,
ALRGR.PA,.PA,ROUGIER S.A.,
ALRIB.PA,.PA,RIBER,
ALROC.PA,.PA,ROCTOOL,
ALRPD.PA,.PA,RAPID NUTRITION,
ALSAF.PA,.PA,SAFE,
ALSAS.PA,.PA,STRADIM ESPAC.FIN,
ALSEI.PA,.PA,SEIF SPA,
ALSEM.PA,.PA,SEMCO TECHNOLOGIES,
ALSEN.PA,.PA,SENSORION,
ALSGD.PA,.PA,SPINEGUARD,
ALSMA.PA,.PA,SMAIO,
ALSMB.LS,.LS,SAMBA DIGITAL,
ALSOG.PA,.PA,SOGECLAIR,
ALSPT.PA,.PA,SPARTOO,
ALSPW.PA,.PA,SPINEWAY,
ALSRS.PA,.PA,SIRIUS MEDIA,
ALSTI.PA,.PA,STIF,
ALSTW.PA,.PA,STREAMWIDE,
ALTA.PA,.PA,ALTAREA,
ALTAI.PA,.PA,LIGHTON,
ALTAO.PA,.PA,ATON,
ALTD.PA,.PA,TONNER DRONES,
ALTHE.PA,.PA,THERACLION,
ALTHO.PA,.PA,METAVISIO,
ALTHX.PA,.PA,THX PHARMA,
ALTME.PA,.PA,TME PHARMA,
ALTOO.PA,.PA,TOOSLA,
ALTOU.PA,.PA,TOUAX,
ALTPC.PA,.PA,SMTPC,
ALTR.LS,.LS,ALTRI SGPS,
ALTRA.PA,.PA,TRACTIAL,
ALTRI.PA,.PA,TRILOGIQ,
ALTUV.PA,.PA,BIO-UV GROUP,
ALTXC.PA,.PA,TXCOM,
ALU10.PA,.PA,U10 CORP,
ALUCI.PA,.PA,LUCIBEL,
ALUNT.PA,.PA,UNITI,
ALUPG.PA,.PA,UPERGY,
ALUVI.PA,.PA,UV GERMI,
ALVAL.PA,.PA,VALBIOTIS,
ALVAP.PA,.PA,KUMULUS VAPE,
ALVAZ.PA,.PA,VAZIVA,
ALVDM.PA,.PA,VOYAGEURS DU MONDE,
ALVG.PA,.PA,VEOM GROUP,
ALVGO.PA,.PA,VOGO,
ALVIA.PA,.PA,VIALIFE,
ALVIN.PA,.PA,VINPAI,
ALVIO.PA,.PA,VALERIO TX,
ALVIR.PA,.PA,VIRTUALWARE,
ALVU.PA,.PA,VENTE UNIQUE.COM,
ALWEC.PA,.PA,WE.CONNECT,
ALWF.PA,.PA,WINFARM,
ALWIT.PA,.PA,WITBE,
ALWTR.PA,.PA,WATERA,
ALX.AS,.AS,ALUMEXX N.V.,
ALXIL.PA,.PA,XILAM ANIMATION,
AM.PA,.PA,DASSAULT AVIATION,
AMB.MI,.MI,AMBROMOBILIARE,
AMG.AS,.AS,AMG,
AMI.MI,.MI,FRIENDS,
AMP.MI,.MI,AMPLIFON,
AMUN.PA,.PA,AMUNDI,
AMUND.AS,.AS,ALMUNDA PRO NV,
ANDF.OL,.OL,ANDFJORD SALMON GR,
ANIM.MI,.MI,ANIMA HOLDING,
ANTIN.PA,.PA,ANTIN INFRA PARTN,
APAM.AS,.AS,APERAM,
APR.OL,.OL,APPEAR,
ARAMI.PA,.PA,ARAMIS GROUP,
ARBS.MI,.MI,ARTERRA BIOSCIENCE,
ARCAD.AS,.AS,ARCADIS,
ARCH.OL,.OL,ARCHER,
ARDO.PA,.PA,ARDOIN ST AMAND B,
AREIT.PA,.PA,ALTAREIT,
ARG.PA,.PA,ARGAN,
ARGX.BR,.BR,ARGENX SE,
ARIS.MI,.MI,ARISTON HOLDING,
ARN.MI,.MI,ALERION,
ARR.OL,.OL,ARRIBATEC GROUP,
ART.MI,.MI,DEODATO.GALLERY,
ARTE.PA,.PA,ARTEA,
ARTO.PA,.PA,ARTOIS NOM.,
ARVEN.PA,.PA,ARVERNE GROUP,
ASA.OL,.OL,ATLANTIC SAPPHIRE,
ASC.MI,.MI,ASCOPIAVE,
ASCE.BR,.BR,ASCENCIO,
ASM.AS,.AS,ASM INTERNATIONAL,
ASML.AS,.AS,ASML HOLDING,
ASRNL.AS,.AS,ASR NEDERLAND,
ASY.PA,.PA,ASSYSTEM,
ATE.PA,.PA,ALTEN,
ATEA.OL,.OL,ATEA,
ATEB.BR,.BR,ATENOR,
ATEME.PA,.PA,ATEME,
ATLD.PA,.PA,ATLAND,
ATO.PA,.PA,ATOS,
ATON.MI,.MI,ATON GREEN STORAGE,
AUB.PA,.PA,AUBAY,
AUGR.PA,.PA,AUGROS COSMETIC,
AURE.PA,.PA,AUREA,
AURG.OL,.OL,AURSKOG SPAREBANK,
AUSS.OL,.OL,AUSTEVOLL SEAFOOD,
AUTME.MI,.MI,AUTOSTRADE MERID,
AUTO.OL,.OL,AUTOSTORE HOLDINGS,
AVIO.MI,.MI,AVIO,
AVT.PA,.PA,AVENIR TELECOM,
AVTX.AS,.AS,AVANTIUM,
AXS.AS,.AS,ACCSYS,
AYV.PA,.PA,AYVENS,
AZE.BR,.BR,AZELIS GROUP,
AZM.MI,.MI,AZIMUT,
AZRN.AS,.AS,AZERION,
AZT.OL,.OL,ARCTICZYMES TECHNO,
B.MI,.MI,BASTOGI SPA,
B2I.OL,.OL,B2 Impact,
BACE.AS,.AS,BM3EAC,
BAIN.PA,.PA,BAINS MER MONACO,
BAKKA.OL,.OL,BAKKAFROST,
BALT.OL,.OL,BALTIC SEA PROP,
BAMI.MI,.MI,BANCO BPM,
BAMNB.AS,.AS,BAM GROEP KON,
BAN.MI,.MI,BASICNET,
BANI.BR,.BR,BANIMMO A,
BANQ.BR,.BR,BANQUP GROUP,
BAR.BR,.BR,BARCO,
BARRA.OL,.OL,BARRAMUNDI GROUP,
BASS.PA,.PA,BASSAC,
BB.PA,.PA,BIC,
BC.MI,.MI,BRUNELLO CUCINELLI,
BCP.LS,.LS,B.COM.PORTUGUES,
BCS.OL,.OL,BERGEN CARBON SOL,
BDB.MI,.MI,BCO DESIO BRIANZA,
BEC.MI,.MI,B&C SPEAKERS,
BEKB.BR,.BR,BEKAERT,
BELL.MI,.MI,BELLINI NAUTICA,
BELYS.BR,.BR,BELYSSE GROUP,
BEN.PA,.PA,BENETEAU,
BES.MI,.MI,BESTBE HOLDING,
BESI.AS,.AS,BE SEMICONDUCTOR,
BEVER.AS,.AS,BEVER HOLDING,
BEWI.OL,.OL,BEWI,
BF.MI,.MI,BOLOGNAFIERE,
BFF.MI,.MI,BFF BANK,
BFG.MI,.MI,B.F.,
BFIT.AS,.AS,BASIC-FIT,
BGN.MI,.MI,BANCA GENERALI,
BIEN.OL,.OL,BIEN SPAREBANK,
BIG.PA,.PA,BIGBEN INTERACTIVE,
BIM.PA,.PA,BIOMERIEUX,
BINT.OL,.OL,BEWI INVEST,
BIOS.BR,.BR,BIOSENIC,
BIRG.IR,.IR,BANK OF IRELAND GP,
BLC.PA,.PA,BASTIDE LE CONFORT,
BLEE.PA,.PA,BLEECKER,
BMA.OL,.OL,BYGGMA,
BMED.MI,.MI,BANCA MEDIOLANUM,
BMPS.MI,.MI,BANCA MPS,
BN.PA,.PA,DANONE,
BNB.BR,.BR,BQUE NAT. BELGIQUE,
BNJ.AS,.AS,BANIJAY GROUP,
BNOR.OL,.OL,BLUENORD,
BNP.PA,.PA,BNP PARIBAS ACT.A,
BO.MI,.MI,BORGOSESIA,
BOI.PA,.PA,BOIRON,
BOL.PA,.PA,BOLLORE,
BON.PA,.PA,BONDUELLE,
BONHR.OL,.OL,BONHEUR,
BOR.OL,.OL,BORGESTAD,
BORR.OL,.OL,BORR DRILLING,
BOUV.OL,.OL,BOUVET,
BPE.MI,.MI,BPER BANCA,
BPOST.BR,.BR,BPOST,
BRE.MI,.MI,BREMBO,
BREB.BR,.BR,BREDERODE,
BRG.OL,.OL,BORREGAARD,
BRI.MI,.MI,BRIOSCHI,
BRM.MI,.MI,BRAGA MORO,
BRNL.AS,.AS,BRUNEL INTERNAT,
BRUT.OL,.OL,BRUTON,
BSD.PA,.PA,BOURSE DIRECT,
BSP.OL,.OL,BLACK SEA PROPERTY,
BSS.MI,.MI,BIESSE,
BST.MI,.MI,BANCA SISTEMA,
BTLS.BR,.BR,BIOTALYS,
BUI.PA,.PA,BARBARA BUI,
BUR.PA,.PA,BURELLE,
BVI.PA,.PA,BUREAU VERITAS,
BWE.OL,.OL,BW ENERGY LIMITED,
BWLPG.OL,.OL,BW LPG,
BWO.OL,.OL,BW OFFSHORE LTD,
BWZ.MI,.MI,BEEWIZE,
BZU.MI,.MI,BUZZI,
C5H.IR,.IR,CAIRN HOMES PLC,
CA.PA,.PA,CARREFOUR,
CABKA.AS,.AS,CABKA,
CABLE.AS,.AS,GIG,
CADLR.OL,.OL,CADELER,
CAF.PA,.PA,CRCAM PARIS ET IDF,
CAI.MI,.MI,CAIRO COMMUNICAT,
CALT.MI,.MI,CALTAGIRONE,
CAMB.BR,.BR,CAMPINE,
CAMBI.OL,.OL,CAMBI,
CAND.BR,.BR,CANDELA INVEST,
CAP.PA,.PA,CAPGEMINI,
CAPSL.OL,.OL,CAPSOL TECHNOLOGI,
CARM.PA,.PA,CARMILA,
CAT31.PA,.PA,CA TOULOUSE 31 CCI,
CAVEN.OL,.OL,CAVENDISH HYDROGEN,
CBB.MI,.MI,CLEANBNB,
CBDG.PA,.PA,CAMBODGE NOM.,
CBE.PA,.PA,ROBERTET CI,
CBOT.PA,.PA,CBO TERRITORIA,
CBR.PA,.PA,ROBERTET CDV 87,
CBSM.PA,.PA,SCBSM,
CCEP.AS,.AS,Coca-ColaEuropacif,
CCN.PA,.PA,CRCAM NORM.SEINE,
CDA.PA,.PA,ALPES (COMPAGNIE),
CDG.MI,.MI,CASTA DIVA GROUP,
CDI.PA,.PA,CHRISTIAN DIOR,
CDU.LS,.LS,CONDURIL,
CE.MI,.MI,CREDEM,
CED.MI,.MI,CALTAGIRONE EDIT,
CELL.MI,.MI,CELLULARLINE,
CEM.MI,.MI,CEMENTIR HOLDING,
CEN.PA,.PA,GROUPE CRIT,
CENER.BR,.BR,CENERGY,
CFEB.BR,.BR,CFE,
CFI.PA,.PA,CFI,
CFL.MI,.MI,COFLE,
CFM.MI,.MI,CROWDFUNDME,
CFV.MI,.MI,CONFINVEST ORO,
CGF.MI,.MI,COGEFEED,
CHSR.PA,.PA,CHAUSSERIA,
CIR.MI,.MI,CIR,
CIRC.MI,.MI,CIRCLE,
CIV.PA,.PA,CRCAM ILLE-VIL.CCI,
CLABO.MI,.MI,CLABO,
CLARI.PA,.PA,CLARIANE,
CLE.MI,.MI,CLASS EDITORI,
CLEX.BR,.BR,CUMULEX,
CLF.MI,.MI,CALEFFI,
CLI.MI,.MI,C. LATTE D'ITALIA,
CLOUD.OL,.OL,CLOUDBERRY CLEAN,
CMB.MI,.MI,CEMBRE,
CMBT.BR,.BR,CMB.TECH,
CMBTO.OL,.OL,CMB.TECH,
CMCOM.AS,.AS,CM.COM,
CMO.PA,.PA,CRCAM MORBIHAN CCI,
CMTL.MI,.MI,COM.TEL,
CNDF.PA,.PA,CRCAM NORD CCI,
CO.PA,.PA,CASINO GUICHARD,
COBH.BR,.BR,CO.BR.HA,
CODE.OL,.OL,CODELAB CAPITAL,
COFA.PA,.PA,COFACE,
COFB.BR,.BR,COFINIMMO,
COH.PA,.PA,COHERIS,
COLR.BR,.BR,COLRUYT,
COM.MI,.MI,COMER INDUSTRIES,
COMB.BR,.BR,CIE BOIS SAUVAGE,
CONTX.OL,.OL,CONTEXTVISION,
COP.MI,.MI,COPERNICO,
COR.LS,.LS,CORTICEIRA AMORIM,
CORE.MI,.MI,ALLCORE,
COSH.OL,.OL,CONSTELLATION OIL,
COSMO.MI,.MI,FARMACOSMO,
COTY.PA,.PA,COTY,
COUR.PA,.PA,COURTOIS,
COV.PA,.PA,COVIVIO,
COVH.PA,.PA,COVIVIO HOTELS,
CPINV.BR,.BR,CARE PROPERTY INV.,
CPR.MI,.MI,CAMPARI,
CRAP.PA,.PA,CRCAM ALP.PROV.CCI,
CRAV.PA,.PA,CRCAM ATL.VEND.CCI,
CRBN.AS,.AS,CORBION,
CRBP2.PA,.PA,CRCAM BRIE PIC2CCI,
CREG.MI,.MI,CREACTIVES GROUP,
CRI.PA,.PA,CIECHARGEURSINVEST,
CRL.MI,.MI,CAREL INDUSTRIES,
